elapsed (s),x-axis (g),y-axis (g),z-axis (g)
53.04,0.573,-0.6940000000000001,0.32299999999999995
53.12000000000001,0.552,-0.73,0.301
53.2,0.334,-0.584,0.35
53.28,0.501,-0.8079999999999999,0.547
53.36,0.715,-1.023,0.403
53.44,0.521,-0.53,0.526
53.52,0.695,-0.609,0.62
53.6,0.747,-0.457,0.563
53.68,0.757,-0.391,0.45
53.76,0.716,-0.257,0.314
53.84,0.838,-0.205,0.281
53.92,0.893,-0.18600000000000005,0.337
54.0,0.877,-0.15,0.25
54.08,0.873,-0.109,0.104
54.16,0.933,0.005,-0.092
54.24,0.883,0.094,-0.226
54.32,0.889,0.103,-0.445
54.4,1.106,-0.119,-0.8079999999999999
54.48,0.83,-0.031,-0.568
54.56,0.727,-0.106,-0.597
54.64,0.86,-0.046,-0.565
54.72,0.871,0.021,-0.4970000000000001
54.8,0.8740000000000001,-0.013,-0.507
54.88,0.94,-0.066,-0.43
54.96,0.998,-0.067,-0.539
55.04,0.7929999999999999,-0.166,-0.514
55.12000000000001,0.711,-0.262,-0.523
55.2,0.695,-0.268,-0.5529999999999999
55.28,0.778,-0.424,-0.594
55.36,0.91,-0.378,-0.618
55.44,1.118,-0.32,-0.713
55.52,0.933,-0.08900000000000001,-0.629
55.6,0.8109999999999999,-0.046,-0.596
55.68,0.7190000000000001,-0.235,-0.462
55.76,0.762,0.036000000000000004,-0.465
55.84,0.826,0.378,-0.425
55.92,0.952,0.348,-0.417
56.0,0.706,0.389,-0.417
56.08,0.513,0.348,-0.514
56.16,0.474,0.445,-0.452
56.24,0.716,0.31,-0.423
56.32,1.118,0.399,-0.516
56.4,0.974,0.479,-0.232
56.48,0.723,0.362,-0.319
56.56,0.906,0.19,-0.695
56.64,0.944,0.177,-1.061
56.72,0.7090000000000001,0.246,-0.838
56.8,0.968,-0.018000000000000002,-0.515
56.88,1.117,-0.021,-0.615
56.96,1.126,0.28800000000000003,-0.564
57.04,1.097,0.381,-0.537
57.12000000000001,0.898,0.396,-0.557
57.2,0.9,0.452,-0.454
57.28,0.887,0.376,-0.41
57.36,0.913,0.519,-0.358
